,mcaldt,tmytm
165,1993-10-29,2.8324834379732002
166,1993-11-30,2.7507461103132003
167,1993-12-31,2.9443116922778
168,1994-01-31,2.791500965099
169,1994-02-28,2.9032987815968
170,1994-03-31,3.3918989994079003
171,1994-04-29,3.6155259567899
172,1994-05-31,3.7876953199599
173,1994-06-30,3.5241423358008
174,1994-07-29,3.9512905316362
175,1994-08-31,4.3894881356907005
176,1994-09-30,4.4907686560696005
177,1994-10-31,4.3372844282122
178,1994-11-30,4.9497012178796
179,1994-12-30,4.7351498424951
180,1995-01-31,5.1818525864664
181,1995-02-28,5.0189488833077
182,1995-03-31,5.7743909736047
183,1995-04-28,5.7336174612673005
184,1995-05-31,5.6427565072272
185,1995-06-30,5.3259674856137
186,1995-07-31,5.447024659215
187,1995-08-31,5.3671207596059
